saveId,team,firstName,lastName,ovr,birthDate,wage,contractExpiration,value,nationality,foot,gk,sw,rwb,rb,cb,lb,lwb,cdm,rm,cm,lm,cam,cf,rw,st,lw
FIFA19MLS,Philadelphia Union,Andre,Blake,76,1990-11-21T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,Jamaican,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA19MLS,Philadelphia Union,Raymon,Gaddis,66,1990-01-13T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,American,R,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
FIFA19MLS,Philadelphia Union,Jack,Elliot,70,1995-08-25T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,English,R,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FIFA19MLS,Philadelphia Union,Auston,Trusty,68,1998-08-12T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,American,R,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FIFA19MLS,Philadelphia Union,Kai,Wagner,70,1997-02-15T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,German,R,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0
FIFA19MLS,Philadelphia Union,Haris,Medunjanin,74,1985-03-08T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,Bosnian,R,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
FIFA19MLS,Philadelphia Union,Alejandro,Bedoya,74,1987-04-29T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,American,R,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
FIFA19MLS,Philadelphia Union,Jamiro,Monteiro,73,1993-11-23T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,Cape Verdean,R,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
FIFA19MLS,Philadelphia Union,Marco,Fabian,75,1989-07-21T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,Mexican,R,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0
FIFA19MLS,Philadelphia Union,Kacper,Przybylko,70,1993-03-25T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,Polish,R,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
FIFA19MLS,Philadelphia Union,Fafa,Picault,68,1991-02-23T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,American,R,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,3
FIFA19MLS,Philadelphia Union,Andrew,Wooten,72,1989-09-30T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,American,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FIFA19MLS,Philadelphia Union,Cory,Burke,69,1991-12-28T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,Jamaican,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FIFA19MLS,Philadelphia Union,Sergio,Santos,69,1994-09-04T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,Brazilian,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
FIFA19MLS,Philadelphia Union,Aurelien,Collin,69,1986-03-08T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,French,R,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FIFA19MLS,Philadelphia Union,,Ilsinho,68,1985-10-12T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,Brazilian,R,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
FIFA19MLS,Philadelphia Union,Mark,McKenzie,65,1999-02-25T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,American,R,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FIFA19MLS,Philadelphia Union,Warren,Creavalle,65,1990-08-14T00:00:00.000Z,2500,2019-02-01T00:00:00.000Z,1000000,Guyanese,R,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
