saveId,team,division,season
FIFA 20,Atlanta United FC,Eastern ConferenceMLS Cup,2019
FIFA 20,Chicago Fire,Eastern ConferenceMLS Cup,2019
FIFA 20,Columbus Crew SC,Eastern ConferenceMLS Cup,2019
FIFA 20,D.C. United,Eastern ConferenceMLS Cup,2019
FIFA 20,Montreal Impact,Eastern ConferenceMLS Cup,2019
FIFA 20,New England Revolution,Eastern ConferenceMLS Cup,2019
FIFA 20,New York City FC,Eastern ConferenceMLS Cup,2019
FIFA 20,New York Red Bulls,Eastern ConferenceMLS Cup,2019
FIFA 20,Orlando City SC,Eastern ConferenceMLS Cup,2019
FIFA 20,Philadelphia Union,Eastern ConferenceMLS Cup,2019
FIFA 20,Toronto FC,Eastern ConferenceMLS Cup,2019
FIFA 20,Colorado Rapids,Western ConferenceMLS Cup,2019
FIFA 20,FC Dallas,Western ConferenceMLS Cup,2019
FIFA 20,Houston Dynamo,Western ConferenceMLS Cup,2019
FIFA 20,LA Galaxy,Western ConferenceMLS Cup,2019
FIFA 20,Los Angeles FC,Western ConferenceMLS Cup,2019
FIFA 20,Minnesota United FC,Western ConferenceMLS Cup,2019
FIFA 20,Portland Timbers,Western ConferenceMLS Cup,2019
FIFA 20,Real Salt Lake,Western ConferenceMLS Cup,2019
FIFA 20,San Jose Earthquakes,Western ConferenceMLS Cup,2019
FIFA 20,Seattle Sounders FC,Western ConferenceMLS Cup,2019
FIFA 20,Sporting Kansas City,Western ConferenceMLS Cup,2019
FIFA 20,Vancouver Whitecaps FC,Western ConferenceMLS Cup,2019
FIFA 20,Atlanta United FC,U.S. Open CupU.S. Open Cup,2019
FIFA 20,Chicago Fire,U.S. Open CupU.S. Open Cup,2019
FIFA 20,Columbus Crew SC,U.S. Open CupU.S. Open Cup,2019
FIFA 20,D.C. United,U.S. Open CupU.S. Open Cup,2019
FIFA 20,Montreal Impact,U.S. Open CupU.S. Open Cup,2019
FIFA 20,New England Revolution,U.S. Open CupU.S. Open Cup,2019
FIFA 20,New York City FC,U.S. Open CupU.S. Open Cup,2019
FIFA 20,New York Red Bulls,U.S. Open CupU.S. Open Cup,2019
FIFA 20,Orlando City SC,U.S. Open CupU.S. Open Cup,2019
FIFA 20,Philadelphia Union,U.S. Open CupU.S. Open Cup,2019
FIFA 20,Toronto FC,U.S. Open CupU.S. Open Cup,2019
FIFA 20,Colorado Rapids,U.S. Open CupU.S. Open Cup,2019
FIFA 20,FC Dallas,U.S. Open CupU.S. Open Cup,2019
FIFA 20,Houston Dynamo,U.S. Open CupU.S. Open Cup,2019
FIFA 20,LA Galaxy,U.S. Open CupU.S. Open Cup,2019
FIFA 20,Los Angeles FC,U.S. Open CupU.S. Open Cup,2019
FIFA 20,Minnesota United FC,U.S. Open CupU.S. Open Cup,2019
FIFA 20,Portland Timbers,U.S. Open CupU.S. Open Cup,2019
FIFA 20,Real Salt Lake,U.S. Open CupU.S. Open Cup,2019
FIFA 20,San Jose Earthquakes,U.S. Open CupU.S. Open Cup,2019
FIFA 20,Seattle Sounders FC,U.S. Open CupU.S. Open Cup,2019
FIFA 20,Sporting Kansas City,U.S. Open CupU.S. Open Cup,2019
FIFA 20,Vancouver Whitecaps FC,U.S. Open CupU.S. Open Cup,2019
