_id,game,competition,division,team
FIFA19MLSMLSEastern ConferenceAtlanta United FC,FIFA19MLS,MLS,Eastern Conference,Atlanta United FC
FIFA19MLSMLSEastern ConferenceChicago Fire,FIFA19MLS,MLS,Eastern Conference,Chicago Fire
FIFA19MLSMLSEastern ConferenceColumbus Crew SC,FIFA19MLS,MLS,Eastern Conference,Columbus Crew SC
FIFA19MLSMLSEastern ConferenceD.C. United,FIFA19MLS,MLS,Eastern Conference,D.C. United
FIFA19MLSMLSEastern ConferenceMontreal Impact,FIFA19MLS,MLS,Eastern Conference,Montreal Impact
FIFA19MLSMLSEastern ConferenceNew England Revolution,FIFA19MLS,MLS,Eastern Conference,New England Revolution
FIFA19MLSMLSEastern ConferenceNew York City FC,FIFA19MLS,MLS,Eastern Conference,New York City FC
FIFA19MLSMLSEastern ConferenceNew York Red Bulls,FIFA19MLS,MLS,Eastern Conference,New York Red Bulls
FIFA19MLSMLSEastern ConferenceOrlando City SC,FIFA19MLS,MLS,Eastern Conference,Orlando City SC
FIFA19MLSMLSEastern ConferencePhiladelphia Union,FIFA19MLS,MLS,Eastern Conference,Philadelphia Union
FIFA19MLSMLSEastern ConferenceToronto FC,FIFA19MLS,MLS,Eastern Conference,Toronto FC
FIFA19MLSMLSWestern ConferenceColorado Rapids,FIFA19MLS,MLS,Western Conference,Colorado Rapids
FIFA19MLSMLSWestern ConferenceFC Dallas,FIFA19MLS,MLS,Western Conference,FC Dallas
FIFA19MLSMLSWestern ConferenceHouston Dynamo,FIFA19MLS,MLS,Western Conference,Houston Dynamo
FIFA19MLSMLSWestern ConferenceLA Galaxy,FIFA19MLS,MLS,Western Conference,LA Galaxy
FIFA19MLSMLSWestern ConferenceLos Angeles FC,FIFA19MLS,MLS,Western Conference,Los Angeles FC
FIFA19MLSMLSWestern ConferenceMinnesota United FC,FIFA19MLS,MLS,Western Conference,Minnesota United FC
FIFA19MLSMLSWestern ConferencePortland Timbers,FIFA19MLS,MLS,Western Conference,Portland Timbers
FIFA19MLSMLSWestern ConferenceReal Salt Lake,FIFA19MLS,MLS,Western Conference,Real Salt Lake
FIFA19MLSMLSWestern ConferenceSan Jose Earthquakes,FIFA19MLS,MLS,Western Conference,San Jose Earthquakes
FIFA19MLSMLSWestern ConferenceSeattle Sounders FC,FIFA19MLS,MLS,Western Conference,Seattle Sounders FC
FIFA19MLSMLSWestern ConferenceSporting Kansas City,FIFA19MLS,MLS,Western Conference,Sporting Kansas City
FIFA19MLSMLSWestern ConferenceVancouver Whitecaps FC,FIFA19MLS,MLS,Western Conference,Vancouver Whitecaps FC
FIFA19MLSU.S. Open CupU.S. Open CupAtlanta United FC,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,Atlanta United FC
FIFA19MLSU.S. Open CupU.S. Open CupChicago Fire,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,Chicago Fire
FIFA19MLSU.S. Open CupU.S. Open CupColumbus Crew SC,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,Columbus Crew SC
FIFA19MLSU.S. Open CupU.S. Open CupD.C. United,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,D.C. United
FIFA19MLSU.S. Open CupU.S. Open CupMontreal Impact,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,Montreal Impact
FIFA19MLSU.S. Open CupU.S. Open CupNew England Revolution,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,New England Revolution
FIFA19MLSU.S. Open CupU.S. Open CupNew York City FC,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,New York City FC
FIFA19MLSU.S. Open CupU.S. Open CupNew York Red Bulls,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,New York Red Bulls
FIFA19MLSU.S. Open CupU.S. Open CupOrlando City SC,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,Orlando City SC
FIFA19MLSU.S. Open CupU.S. Open CupPhiladelphia Union,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,Philadelphia Union
FIFA19MLSU.S. Open CupU.S. Open CupToronto FC,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,Toronto FC
FIFA19MLSU.S. Open CupU.S. Open CupColorado Rapids,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,Colorado Rapids
FIFA19MLSU.S. Open CupU.S. Open CupFC Dallas,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,FC Dallas
FIFA19MLSU.S. Open CupU.S. Open CupHouston Dynamo,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,Houston Dynamo
FIFA19MLSU.S. Open CupU.S. Open CupLA Galaxy,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,LA Galaxy
FIFA19MLSU.S. Open CupU.S. Open CupLos Angeles FC,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,Los Angeles FC
FIFA19MLSU.S. Open CupU.S. Open CupMinnesota United FC,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,Minnesota United FC
FIFA19MLSU.S. Open CupU.S. Open CupPortland Timbers,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,Portland Timbers
FIFA19MLSU.S. Open CupU.S. Open CupReal Salt Lake,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,Real Salt Lake
FIFA19MLSU.S. Open CupU.S. Open CupSan Jose Earthquakes,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,San Jose Earthquakes
FIFA19MLSU.S. Open CupU.S. Open CupSeattle Sounders FC,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,Seattle Sounders FC
FIFA19MLSU.S. Open CupU.S. Open CupSporting Kansas City,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,Sporting Kansas City
FIFA19MLSU.S. Open CupU.S. Open CupVancouver Whitecaps FC,FIFA19MLS,U.S. Open Cup,U.S. Open Cup,Vancouver Whitecaps FC
